set_id,min_date,max_date,time_to_request_all_data,tp_sum
[1],2007-06-21 10:00:00+00:00,2021-09-27 11:30:00+00:00,0.7338590621948242 seconds,9657846.0
[2],2007-06-21 01:00:00+00:00,2021-12-31 23:30:00+00:00,0.6949400901794434 seconds,9146511.0
[3],2007-10-29 17:00:00+00:00,2018-04-09 11:50:00+00:00,0.6391549110412598 seconds,1068029.1800000002
[4],1986-02-01 00:00:00+00:00,1995-04-03 12:00:00+00:00,0.6127650737762451 seconds,1131676.6
[5],1973-12-01 01:00:00+00:00,2021-12-31 23:50:00+00:00,1.8342409133911133 seconds,20393140.500000004
[6],1978-06-27 13:00:00+00:00,2021-12-31 23:50:00+00:00,1.814197063446045 seconds,22377179.369999994
[7],1982-05-26 17:00:00+00:00,1996-04-21 23:00:00+00:00,0.7194380760192871 seconds,927322.3900000001
[8],1988-03-15 11:00:00+00:00,2021-12-31 22:50:00+00:00,1.3720788955688477 seconds,2215089.7799999993
[9],1988-08-09 05:00:00+00:00,2021-12-31 23:50:00+00:00,7.2067790031433105 seconds,29572109.269999992
[10],1988-11-10 18:00:00+00:00,2021-12-31 23:50:00+00:00,2.8119962215423584 seconds,25075680.689999994
[11],2002-06-25 19:00:00+00:00,2014-02-19 12:50:00+00:00,1.3190162181854248 seconds,1475045.67
[12],2003-11-10 23:00:00+00:00,2021-12-31 23:50:00+00:00,2.569122076034546 seconds,28524076.12
[13],2005-02-23 16:00:00+00:00,2021-12-31 23:08:00+00:00,1.3369567394256592 seconds,11180070.0
[14],2003-03-28 19:00:00+00:00,2021-12-31 23:50:00+00:00,2.0062508583068848 seconds,15969893.159999998
[15],2005-02-23 16:00:00+00:00,2021-12-31 23:08:00+00:00,1.4294140338897705 seconds,11834425.0
[16],2005-02-23 15:00:00+00:00,2021-12-31 23:08:00+00:00,1.3044841289520264 seconds,10231650.0
[17],2006-07-06 21:00:00+00:00,2015-01-12 20:50:00+00:00,1.3801212310791016 seconds,2674446.8899999997
[18],2005-07-12 01:00:00+00:00,2021-12-31 23:08:00+00:00,1.3719379901885986 seconds,11214126.0
[19],2005-07-12 00:00:00+00:00,2021-12-31 23:08:00+00:00,1.4771621227264404 seconds,14459049.0
[20],2005-05-30 17:00:00+00:00,2021-12-31 23:50:00+00:00,2.159564971923828 seconds,18224336.41
[21],2005-05-28 15:00:00+00:00,2021-07-16 19:00:00+00:00,1.7750530242919922 seconds,11526475.28
[22],2007-04-11 16:00:00+00:00,2021-12-31 23:50:00+00:00,2.142415761947632 seconds,25496165.99
[23],2009-05-12 03:50:00+00:00,2021-12-31 23:50:00+00:00,1.807525873184204 seconds,25424592.96
[24],2007-09-22 07:00:00+00:00,2021-12-31 23:50:00+00:00,1.8493449687957764 seconds,25421851.35
[25],2007-09-21 06:00:00+00:00,2021-12-31 23:50:00+00:00,1.7463178634643555 seconds,23868542.1
