set_id,min_date,max_date,time_to_gather_data,tp_sum
[1],2011-04-14 06:00:00+00:00,2013-01-01 07:00:00+00:00,0.6758577823638916 seconds,1487178.0
[2],2012-12-04 09:00:00+00:00,2016-01-01 07:00:00+00:00,0.6878962516784668 seconds,2457972.0
[3],2007-10-29 17:00:00+00:00,2014-01-01 07:50:00+00:00,0.753136157989502 seconds,601275.99
[4],1986-02-01 00:00:00+00:00,1992-01-01 07:00:00+00:00,0.7845499515533447 seconds,736350.9
[5],1997-01-01 08:00:00+00:00,2005-01-01 07:00:00+00:00,0.8876559734344482 seconds,620906.3899999999
[6],1981-01-01 08:00:00+00:00,1986-03-12 17:00:00+00:00,0.6978418827056885 seconds,77020.19999999998
[7],1989-01-01 08:00:00+00:00,1996-01-01 07:00:00+00:00,0.8215069770812988 seconds,413358.67999999993
[8],1992-01-01 08:00:00+00:00,1998-01-01 07:00:00+00:00,0.7032480239868164 seconds,68969.4
[9],1998-01-01 08:00:00+00:00,2018-01-01 07:50:00+00:00,1.6939051151275635 seconds,8576385.9
[10],1993-01-01 08:00:00+00:00,1997-01-01 07:00:00+00:00,0.9528207778930664 seconds,593996.63
[11],2006-01-01 08:00:00+00:00,2012-01-01 07:50:00+00:00,0.8151869773864746 seconds,1032045.75
[12],2004-01-01 08:00:00+00:00,2015-01-01 07:50:00+00:00,0.9735431671142578 seconds,1058979.76
[13],2005-02-23 16:00:00+00:00,2011-01-01 07:00:00+00:00,0.740821123123169 seconds,2531628.0
[14],2004-01-01 08:00:00+00:00,2018-12-21 06:50:00+00:00,1.1462929248809814 seconds,5676818.159999999
[15],2006-01-01 09:00:00+00:00,2014-01-01 06:00:00+00:00,0.7760629653930664 seconds,4099060.0
[16],2017-01-01 08:08:00+00:00,2021-01-01 07:08:00+00:00,0.7470800876617432 seconds,3401541.0
[17],2006-07-06 21:00:00+00:00,2015-01-01 07:50:00+00:00,0.9777109622955322 seconds,2634561.86
[18],2016-01-01 08:08:00+00:00,2021-01-01 07:08:00+00:00,0.7798480987548828 seconds,4250862.0
[19],2013-01-01 08:00:00+00:00,2020-01-01 07:08:00+00:00,0.840634822845459 seconds,8054343.0
[20],2005-05-30 17:00:00+00:00,2011-01-01 07:50:00+00:00,0.7836449146270752 seconds,444058.54000000004
[21],2005-05-28 15:00:00+00:00,2016-01-01 07:50:00+00:00,0.9553263187408447 seconds,1057901.06
[22],2010-01-01 08:50:00+00:00,2017-01-01 07:50:00+00:00,0.953740119934082 seconds,3355172.31
[23],2011-01-01 08:50:00+00:00,2013-01-01 07:50:00+00:00,0.7520551681518555 seconds,200835.91999999998
[24],2010-01-01 08:50:00+00:00,2021-01-01 07:50:00+00:00,1.6098499298095703 seconds,20946787.17
[25],2012-01-01 08:50:00+00:00,2017-01-01 07:50:00+00:00,0.922966718673706 seconds,3270031.19
[26],2014-01-01 08:50:00+00:00,2020-01-01 07:50:00+00:00,1.1168031692504883 seconds,10065676.350000003
[27],2009-05-14 16:50:00+00:00,2011-01-01 07:50:00+00:00,0.7536029815673828 seconds,138021.84999999998
[28],2014-01-01 08:00:00+00:00,2020-01-01 07:50:00+00:00,1.57210111618042 seconds,22690790.399999995
[29],2011-01-01 08:00:00+00:00,2018-01-01 07:50:00+00:00,1.7968409061431885 seconds,27137694.6
[30],2014-03-14 17:40:00+00:00,2017-01-01 07:59:00+00:00,0.84688401222229 seconds,335553.42000000004
[31],2008-01-01 08:00:00+00:00,2013-01-01 07:53:00+00:00,0.8990700244903564 seconds,667486.37
[32],2010-01-06 17:51:00+00:00,2014-01-01 07:40:00+00:00,0.8105299472808838 seconds,526827.73
[33],2006-10-04 00:00:00+00:00,2020-01-01 07:30:00+00:00,1.3093559741973877 seconds,1886540.4499999997
[34],2013-01-01 08:24:00+00:00,2015-01-01 07:34:00+00:00,0.743898868560791 seconds,217315.45
[35],1985-01-01 08:00:00+00:00,1997-01-01 07:00:00+00:00,0.974329948425293 seconds,824387.9099999999
[36],1995-01-01 08:00:00+00:00,2012-01-01 07:50:00+00:00,1.117213249206543 seconds,1487522.4499999997
[37],2005-01-01 08:00:00+00:00,2017-06-22 13:10:00+00:00,1.0632572174072266 seconds,1933599.2899999998
[38],1988-01-01 08:00:00+00:00,2003-01-01 07:00:00+00:00,1.0794551372528076 seconds,5748001.98
[],,,1.3045291900634766 seconds,0.0
[40],2008-08-07 19:20:00+00:00,2012-12-21 18:40:00+00:00,1.593979835510254 seconds,8606565.0
[41],1991-01-01 08:00:00+00:00,2020-01-01 07:50:00+00:00,2.953718900680542 seconds,6526754.13
[42],1990-05-24 16:00:00+00:00,2014-01-01 07:50:00+00:00,3.0438060760498047 seconds,2272700.93
[43],2006-01-06 14:00:00+00:00,2021-01-01 07:30:00+00:00,1.7465629577636719 seconds,12502710.0
[44],2004-07-01 00:00:00+00:00,2010-06-18 01:30:00+00:00,0.8909997940063477 seconds,3240666.0
[45],1997-01-01 08:00:00+00:00,2003-01-01 07:00:00+00:00,0.9542591571807861 seconds,496902.12000000005
[46],2000-01-01 08:00:00+00:00,2020-01-01 07:50:00+00:00,1.5812759399414062 seconds,4323988.88
[47],2012-01-01 08:50:00+00:00,2020-01-01 07:50:00+00:00,0.9781711101531982 seconds,2880392.2199999997
[48],2012-01-01 08:50:00+00:00,2019-01-01 07:50:00+00:00,1.4787969589233398 seconds,12757164.510000004
[49],2004-01-01 08:00:00+00:00,2016-12-18 14:00:00+00:00,1.3993511199951172 seconds,11646063.0
[50],2012-01-01 10:00:00+00:00,2014-05-31 15:30:00+00:00,1.0381700992584229 seconds,2448072.0
[51],2014-01-16 09:00:00+00:00,2018-01-01 07:30:00+00:00,1.1199450492858887 seconds,3591918.0
[52],2007-03-22 17:00:00+00:00,2015-01-01 07:30:00+00:00,1.3453700542449951 seconds,9296793.0
[53],2008-07-14 16:00:00+00:00,2011-01-01 07:30:00+00:00,1.112781047821045 seconds,2931984.0
[54],2006-01-01 08:00:00+00:00,2015-01-01 07:50:00+00:00,1.2664220333099365 seconds,1226476.52
[55],2013-01-01 08:50:00+00:00,2021-01-01 07:50:00+00:00,1.8653960227966309 seconds,17961012.459999997
[56],2011-01-01 08:50:00+00:00,2019-01-01 07:50:00+00:00,1.3964829444885254 seconds,7595452.040000001
[57],2005-06-08 10:00:00+00:00,2014-01-01 07:50:00+00:00,1.2126688957214355 seconds,1194244.4000000001
[58],2013-01-01 08:50:00+00:00,2018-01-01 07:50:00+00:00,1.3289110660552979 seconds,7310002.55
